Bootstrap inversion results (2sigma uncertainty)
Station: syn12
Lat:   -7.54358 deg (0.000041) 
Lon:   -133.61819 deg (0.000054) 
X:     199.685847 m (5.938512) 
Y:    -398.374103 m (4.576745) 
Depth: -5062.903294 m (25.565977) 
TAT:   15.027465 ms (0.853705) 
Water Vel.: 1524.154963 m/s (7.021806)
Drift Lon: 199.428770 m (5.938512) 
Drift Lat: -398.374103 m (4.576745) 
Drift:    445.512310 m (5.133187) 
Drift Azi: 153.407692 deg (0.702782)
dz: -62.903294 m (25.565977)

RMS:  4.560868 ms (0.799820)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -7.539785 -133.620005 5084.417666   2.781858   0.000000   0.000000
  2:  -7.539785 -133.620005 5084.417666   5.470350   0.000000   0.000000
  3:  -7.539785 -133.620005 5084.417666   1.997747   0.000000   0.000000
  4:  -7.539785 -133.620005 5084.417666  -3.307135   0.000000   0.000000
  5:  -7.539785 -133.620005 5084.417666  -2.716485   0.168007   0.736998
  6:  -7.538077 -133.620008 5103.720746  -4.444001   0.492050   2.165994
  7:  -7.536360 -133.620020 5130.170893  -7.175908   0.649990   2.875425
  8:  -7.531208 -133.619997 5250.322743   4.982920   1.077282   4.878344
  9:  -7.529490 -133.620020 5303.700368  -1.908839   1.213669   5.548327
 10:  -7.527773 -133.619998 5363.111224  -0.232540   1.359504   6.284406
 11:  -7.526057 -133.620007 5428.709301   3.212765   1.490737   6.978693
 12:  -7.524338 -133.620002 5500.171551  -3.767389   1.329978   6.301169
 13:  -7.523300 -133.621050 5551.471631  -5.420886   0.585734   2.800652
 14:  -7.523502 -133.622757 5556.273837  -5.941566   0.094764   0.453654
 15:  -7.523862 -133.624435 5560.169140  -0.681692   0.067346   0.322972
 16:  -7.524392 -133.626070 5562.471637  -4.618654   0.016388   0.078558
 17:  -7.525115 -133.627628 5561.672838  -0.291372  -0.064430  -0.309187
 18:  -7.526970 -133.630510 5557.828730  -6.703214  -0.031204  -0.149434
 19:  -7.528110 -133.631793 5553.507097  -3.615814  -0.113078  -0.541351
 20:  -7.529378 -133.632947 5547.384614   6.353949  -0.185143  -0.887207
 21:  -7.532222 -133.634857 5532.085217  -0.067033  -0.170729  -0.815006
 22:  -7.533790 -133.635547 5520.780025   4.104699  -0.240998  -1.148914
 23:  -7.535410 -133.636107 5509.915304  -3.081508  -0.233937  -1.111658
 24:  -7.537073 -133.636518 5498.954745   5.485375  -0.299402  -1.422225
 25:  -7.540488 -133.636763 5472.003201   3.157485  -0.268215  -1.267129
 26:  -7.542197 -133.636622 5457.514905   5.810970  -0.306380  -1.444217
 27:  -7.543888 -133.636337 5443.821089   1.011121  -0.318347  -1.495745
 28:  -7.545528 -133.635842 5428.214604  -4.258384  -0.336427  -1.574823
 29:  -7.547115 -133.635192 5412.881033   7.141379  -0.337941  -1.580435
 30:  -7.548620 -133.634373 5397.107851   4.015078  -0.339366  -1.581752
 31:  -7.550030 -133.633400 5381.237173   2.950817  -0.326660  -1.517589
 32:  -7.551357 -133.632310 5366.799839   3.983705  -0.305886  -1.417492
 33:  -7.552570 -133.631097 5353.088250  -5.508905  -0.308569  -1.424180
 34:  -7.553618 -133.629738 5338.400600   1.421888  -0.300555  -1.384992
 35:  -7.554363 -133.628580 5327.430128  -8.417867  -0.264377  -1.213958
 36:  -7.554535 -133.628288 5324.944638  -1.658720  -0.291393  -1.338646
 37:  -7.555332 -133.626768 5313.542293  -1.665962  -0.280156  -1.284268
 38:  -7.556367 -133.623498 5291.123063  -0.987411  -0.211483  -0.965577
 39:  -7.556752 -133.620087 5274.553504   2.802107  -0.153205  -0.697635
 40:  -7.556418 -133.616673 5262.893398  -0.309032  -0.073486  -0.333663
 41:  -7.555970 -133.615015 5258.592880  -3.468897  -0.064489  -0.292446
 42:  -7.555390 -133.613400 5256.959897  -4.050378  -0.024326  -0.110229
 43:  -7.554628 -133.611860 5256.284156  -2.172831   0.006618   0.030009
 44:  -7.553725 -133.610398 5257.633726  -1.936639   0.014707   0.066701
 45:  -7.551480 -133.607807 5264.444949   0.344313   0.109966   0.499514
 46:  -7.548763 -133.605715 5277.888965  -2.586951   0.203936   0.928108
 47:  -7.547257 -133.604893 5286.633231   2.654261   0.206918   0.944147
 48:  -7.545680 -133.604217 5297.190320   2.896086   0.241853   1.105780
 49:  -7.544042 -133.603708 5308.881585   1.600068   0.255120   1.168796
 50:  -7.542357 -133.603402 5320.647557  -9.830022   0.269191   1.233056
 51:  -7.540645 -133.603262 5333.664321  -1.425077   0.297212   1.367108
 52:  -7.538932 -133.603283 5347.979984  11.839961   0.325641   1.506022
 53:  -7.537225 -133.603455 5363.894744   6.511800   0.355226   1.645755
 54:  -7.536248 -133.603650 5372.833773  -2.682782   0.096027   0.444905
 55:  -7.532293 -133.606618 5369.932563   6.349107  -0.582551  -2.703018
 56:  -7.533123 -133.608118 5312.104137   3.796263  -1.190194  -5.461443
 57:  -7.535722 -133.612552 5175.274273   2.274110  -0.773106  -3.453955
