Bootstrap inversion results (2sigma uncertainty)
Station: CC10
Lat:   -7.11482 deg (0.000018) 
Lon:   -133.34575 deg (0.000017) 
X:     -96.915308 m (1.880865) 
Y:    -167.479423 m (2.003819) 
Depth: -4618.874909 m (4.921380) 
TAT:   13.822499 ms (1.170100) 
Water Vel.: 1508.050017 m/s (1.523390)
Drift Lon: -96.915308 m (1.880865) 
Drift Lat: -167.479423 m (2.003819) 
Drift:    193.501769 m (1.883993) 
Drift Azi: 210.056834 deg (0.592291)
dz: 13.125091 m (4.921380)

RMS:  1.957196 ms (0.364767)

Bad pings Removed: 1
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -7.113197 -133.345130 4622.884435  -0.698986  -0.003701  -0.015078
  2:  -7.113233 -133.345147 4622.701516  -0.473678  -0.001060  -0.004317
  3:  -7.113293 -133.345087 4622.553593  -0.289234  -0.008652  -0.035250
  4:  -7.113430 -133.344362 4623.982710  -0.202311   0.004379   0.017849
  5:  -7.114117 -133.343270 4627.636937  -0.075112   0.072460   0.295550
  6:  -7.115508 -133.342260 4635.529481  -0.481690   0.204856   0.836956
  7:  -7.117092 -133.341087 4654.239777   0.582867   0.382795   1.570408
  8:  -7.118765 -133.339907 4684.037736   1.030049   0.580080   2.395073
  9:  -7.120395 -133.338772 4723.063744   3.098055   0.769082   3.202558
 10:  -7.125655 -133.335227 4911.142995   2.719566   1.259058   5.451715
 11:  -7.127862 -133.333740 5017.187419   1.176363   1.258588   5.565861
 12:  -7.129452 -133.332380 5111.873600   3.330236   0.982035   4.426916
 13:  -7.129855 -133.330708 5182.374940  -0.671165   0.488634   2.231102
 14:  -7.128597 -133.329398 5188.015039   1.513738  -0.081475  -0.372611
 15:  -7.111823 -133.322482 5296.193300   0.260583   0.178427   0.832718
 16:  -7.097890 -133.329033 5315.123991  -0.725452   0.527831   2.471669
 17:  -7.096568 -133.330600 5311.330559  -1.606611   0.206169   0.964565
 18:  -7.095637 -133.331992 5305.282800  -1.600481  -0.099436  -0.464689
 19:  -7.092957 -133.336888 5304.746638   1.769744  -0.119763  -0.560011
 20:  -7.092125 -133.338820 5312.392943  -1.999641  -0.366656  -1.715607
 21:  -7.092405 -133.340260 5277.200083  -0.471419  -0.663833  -3.086589
 22:  -7.093620 -133.340888 5207.807244  -0.460871  -0.954601  -4.380333
 23:  -7.095073 -133.341145 5134.553683  -1.265630  -1.077550  -4.874488
 24:  -7.096227 -133.341355 5079.335687  -1.046435  -0.979379  -4.383087
 25:  -7.097743 -133.341667 5010.548937   1.987166  -0.790997  -3.493603
 26:  -7.099540 -133.345993 4918.529206  -0.804384  -0.406819  -1.763269
 27:  -7.099415 -133.349710 4942.645745   3.939064  -0.029124  -0.126926
 28:  -7.099610 -133.351840 4961.661681   1.823043   0.197306   0.862970
 29:  -7.100233 -133.353928 4975.402188  -2.164169   0.244682   1.072499
 30:  -7.101055 -133.355862 4990.117605   3.021950   0.147602   0.649418
 31:  -7.102080 -133.357625 5004.211484  -1.379169   0.017131   0.075531
 32:  -7.103552 -133.358970 5002.182454  -0.771486  -0.087283  -0.384715
 33:  -7.105453 -133.359758 4980.329422   1.128524  -0.164028  -0.720060
 34:  -7.107417 -133.360390 4962.020515   0.447957  -0.209984  -0.918288
 35:  -7.109373 -133.361078 4956.378907  -1.922289  -0.188850  -0.824611
 36:  -7.111432 -133.361435 4947.529833  -1.229405  -0.126275  -0.550458
 37:  -7.113515 -133.361490 4937.542162   2.746266  -0.102345  -0.445564
 38:  -7.115598 -133.361440 4934.215719   1.258930  -0.117530  -0.511193
 39:  -7.117608 -133.361188 4933.388316   1.349526  -0.119735  -0.520707
 40:  -7.119428 -133.360407 4920.938865  -0.985525  -0.114783  -0.497691
 41:  -7.121205 -133.359325 4907.300641   0.965228  -0.098032  -0.424045
 42:  -7.122995 -133.358257 4905.105576  -0.994753  -0.037206  -0.160803
 43:  -7.124603 -133.356985 4903.531912   1.922567   0.038317   0.165645
 44:  -7.126150 -133.355658 4909.324071   3.147474   0.064708   0.280138
 45:  -7.127667 -133.354243 4922.593473   1.621041   0.052435   0.227554
 46:  -7.128743 -133.352538 4926.079599  -2.670261  -0.006315  -0.027400
 47:  -7.129425 -133.350610 4922.378030  -0.892327  -0.130884  -0.567677
 48:  -7.129685 -133.348670 4913.164288  -4.438461  -0.275839  -1.193346
 49:  -7.128320 -133.347500 4857.884065  -1.347992  -0.402129  -1.721255
 50:  -7.127242 -133.347147 4821.171565  -2.602913  -0.498169  -2.115866
 51:  -7.126183 -133.346922 4788.410205  -2.185906  -0.512902  -2.163862
 52:  -7.125207 -133.346758 4760.757966  -4.368663  -0.448698  -1.881555
