Bootstrap inversion results (2sigma uncertainty)
Station: WC04
Lat:   -6.53525 deg (0.000018) 
Lon:   -134.13046 deg (0.000013) 
X:     -131.675685 m (1.465322) 
Y:    0.661935 m (2.002397) 
Depth: -4533.891774 m (4.128874) 
TAT:   12.778234 ms (0.517335) 
Water Vel.: 1501.976274 m/s (1.237263)
Drift Lon: -131.675685 m (1.465322) 
Drift Lat: 0.661935 m (2.002397) 
Drift:    131.681182 m (1.452924) 
Drift Azi: 270.288926 deg (0.877950)
dz: 27.108226 m (4.128874)

RMS:  1.159706 ms (0.415043)

Bad pings Removed: 3
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.534425 -134.130375 4534.828471  -1.138025  -0.017483  -0.070431
  2:  -6.534557 -134.130235 4534.616212   0.026595  -0.011257  -0.045350
  3:  -6.535157 -134.129643 4534.805388  -1.111167   0.028040   0.112958
  4:  -6.535727 -134.128833 4537.763378  -0.154421   0.079281   0.319619
  5:  -6.535932 -134.127663 4545.052608   1.019160   0.155641   0.628532
  6:  -6.535935 -134.126305 4557.749978   1.074555   0.263236   1.065989
  7:  -6.535868 -134.124782 4577.694401   0.593943   0.402682   1.637719
  8:  -6.535725 -134.123090 4606.888406   0.725159   0.567073   2.321051
  9:  -6.535503 -134.120782 4658.636080   1.719876   0.787414   3.259267
 10:  -6.535003 -134.115585 4823.255151  -1.229273   1.229181   5.265492
 11:  -6.534797 -134.113553 4904.636848  -0.614027   1.379312   6.008698
 12:  -6.534595 -134.111508 4995.524352   0.262120   1.343973   5.963892
 13:  -6.534465 -134.109480 5093.954158  -1.573215   1.075527   4.864574
 14:  -6.535522 -134.107855 5177.646243  -0.171902   0.718782   3.305378
 15:  -6.538055 -134.107687 5195.816119   0.515491   0.310332   1.432331
 16:  -6.540640 -134.108335 5186.445148   0.896687  -0.139171  -0.641267
 17:  -6.542835 -134.108923 5189.706247   0.617644  -0.526133  -2.425540
 18:  -6.554463 -134.135882 5042.663183  -0.257534   0.302806   1.356139
 19:  -6.553098 -134.137115 4999.206320  -0.385818  -0.182116  -0.808562
 20:  -6.551065 -134.138692 4943.908436   0.056212  -0.555817  -2.440862
 21:  -6.528858 -134.142990 4793.413559   0.376483   0.231967   0.987837
 22:  -6.527882 -134.141917 4777.692242   1.192908   0.026878   0.114108
 23:  -6.526867 -134.140803 4767.084384  -1.389995  -0.103911  -0.439910
 24:  -6.525965 -134.139622 4757.949857  -0.332564  -0.116908  -0.494092
 25:  -6.525108 -134.138420 4752.897598  -0.607486  -0.073473  -0.310182
 26:  -6.524367 -134.137192 4749.744800   0.538848  -0.037830  -0.159636
 27:  -6.523710 -134.135942 4749.050751   0.455413   0.004040   0.017045
 28:  -6.523232 -134.134667 4747.657779  -0.637814   0.050566   0.213242
 29:  -6.522760 -134.133383 4750.764084  -0.729297   0.083185   0.351018
 30:  -6.522255 -134.132078 4759.697567   0.266495   0.090626   0.383207
 31:  -6.521763 -134.130762 4773.164204   0.351634   0.073448   0.311452
 32:  -6.521700 -134.129072 4777.712017   0.288931  -0.003752  -0.015926
 33:  -6.521935 -134.127688 4776.998370   3.984843  -0.181217  -0.769553
 34:  -6.523698 -134.122998 4782.306278  -0.710308  -0.264101  -1.121844
 35:  -6.525097 -134.122948 4744.289970  -1.134337  -0.588403  -2.479425
 36:  -6.526427 -134.123835 4695.331990  -2.788608  -0.752058  -3.135852
