Bootstrap inversion results (2sigma uncertainty)
Station: CC07
Lat:   -6.15879 deg (0.000013) 
Lon:   -133.04639 deg (0.000011) 
X:     -67.484561 m (1.175974) 
Y:    -176.166546 m (1.420366) 
Depth: -4627.182099 m (3.311882) 
TAT:   14.390052 ms (1.216633) 
Water Vel.: 1507.952379 m/s (1.004676)
Drift Lon: -67.484561 m (1.175974) 
Drift Lat: -176.166546 m (1.420366) 
Drift:    188.651079 m (1.323865) 
Drift Azi: 200.960630 deg (0.389885)
dz: 43.817901 m (3.311882)

RMS:  1.834154 ms (0.335933)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.158248 -133.051325 4659.702149  -2.356891  -0.240337  -0.987007
  2:  -6.158062 -133.050212 4647.181910  -0.869832  -0.190352  -0.779782
  3:  -6.157862 -133.049070 4637.825730  -0.495016  -0.145292  -0.594014
  4:  -6.157642 -133.047780 4631.490476  -0.131937  -0.074877  -0.305724
  5:  -6.157460 -133.046637 4629.610360  -0.598970  -0.001517  -0.006192
  6:  -6.157430 -133.046415 4629.637349   0.298759   0.008024   0.032751
  7:  -6.157380 -133.046187 4629.874374  -0.914267   0.007988   0.032603
  8:  -6.157187 -133.044857 4633.698521  -0.978427   0.077621   0.317053
  9:  -6.157968 -133.043192 4641.596977  -0.513408   0.188030   0.769373
 10:  -6.159418 -133.041978 4653.384968  -0.171732   0.309321   1.268935
 11:  -6.160713 -133.040530 4677.236597  -0.767621   0.458331   1.889699
 12:  -6.162218 -133.039280 4708.877623   2.084834   0.618633   2.568773
 13:  -6.163742 -133.038052 4749.945139   1.667505   0.784683   3.286422
 14:  -6.165825 -133.036540 4817.055579   1.659134   0.999891   4.246837
 15:  -6.168487 -133.034735 4921.782930   4.638455   1.239513   5.381183
 16:  -6.170222 -133.033558 5002.506176   3.622586   1.221384   5.388655
 17:  -6.171920 -133.032355 5092.259507   1.619859   0.967611   4.344236
 18:  -6.172325 -133.030533 5170.123766  -0.510521   0.610624   2.782268
 19:  -6.167332 -133.026622 5204.758597   0.487401   0.490343   2.249581
 20:  -6.165378 -133.025638 5216.928366  -3.380723   0.214214   0.984369
 21:  -6.161227 -133.024178 5246.605658  -1.845770   0.235280   1.087600
 22:  -6.159007 -133.023982 5250.002054  -0.448119   0.165554   0.765984
 23:  -6.156690 -133.023970 5255.709630  -2.854098   0.090572   0.419327
 24:  -6.154397 -133.024092 5266.701299  -0.576942   0.027305   0.126734
 25:  -6.149920 -133.025157 5281.733891  -2.416920   0.169189   0.787248
 26:  -6.147905 -133.026045 5284.999394  -1.798691   0.095186   0.443232
 27:  -6.146137 -133.027130 5283.368394  -1.636718   0.039053   0.181794
 28:  -6.144513 -133.028418 5278.364070  -1.026003   0.025520   0.118702
 29:  -6.142855 -133.029795 5281.193915  -0.809799   0.049113   0.228567
 30:  -6.141242 -133.031268 5289.547682   0.068985   0.079057   0.368562
 31:  -6.139790 -133.032895 5296.981872   2.090211   0.084840   0.396204
 32:  -6.138525 -133.034607 5304.290672  -0.462936   0.063985   0.299101
 33:  -6.137567 -133.036468 5303.470651   1.534438   0.030648   0.143288
 34:  -6.136750 -133.038470 5302.966155   2.175007   0.004516   0.021115
 35:  -6.136095 -133.040512 5304.217960   0.594299  -0.009822  -0.045922
 36:  -6.135668 -133.042645 5303.049525  -0.786323  -0.015475  -0.072317
 37:  -6.135432 -133.044760 5302.605431   1.660940  -0.031357  -0.146585
 38:  -6.135435 -133.046900 5299.657690   2.522744  -0.046850  -0.218912
 39:  -6.135665 -133.048907 5294.340017   2.572257  -0.077560  -0.362056
 40:  -6.136058 -133.050908 5289.796932   0.692010  -0.106890  -0.498391
 41:  -6.136672 -133.052907 5283.527434   0.050138  -0.107180  -0.499099
 42:  -6.137512 -133.054803 5274.155694   2.365502  -0.097092  -0.451484
 43:  -6.138493 -133.056602 5265.725532  -2.220423  -0.090473  -0.419744
 44:  -6.139517 -133.058405 5265.322853  -0.766465  -0.081738  -0.379272
 45:  -6.140790 -133.060140 5262.199827  -0.627032  -0.086817  -0.402606
 46:  -6.142187 -133.061767 5261.182195  -0.281268  -0.101966  -0.472791
 47:  -6.143795 -133.063098 5251.841465   1.973159  -0.121494  -0.562538
 48:  -6.145570 -133.064158 5236.118258   0.897425  -0.145735  -0.672644
 49:  -6.147277 -133.065162 5229.694708  -0.526462  -0.160587  -0.740132
 50:  -6.149112 -133.065937 5218.984467   0.629667  -0.149356  -0.687085
 51:  -6.151083 -133.066678 5213.480495  -0.983218  -0.136348  -0.626416
 52:  -6.153097 -133.067172 5205.620887  -2.472864  -0.123394  -0.565908
 53:  -6.155155 -133.067487 5198.567716  -1.211894  -0.113559  -0.520210
 54:  -6.157212 -133.067538 5188.501404   0.093931  -0.144672  -0.661598
 55:  -6.159253 -133.067562 5186.967562  -0.836840  -0.185534  -0.848081
 56:  -6.163182 -133.066817 5172.803405  -3.872825  -0.069435  -0.316357
 57:  -6.165077 -133.066080 5161.702849  -0.338295  -0.128774  -0.585812
 58:  -6.168658 -133.064338 5152.422042   0.896522  -0.024504  -0.111298
 59:  -6.170302 -133.063253 5149.203420   0.204400  -0.038848  -0.176319
 60:  -6.171848 -133.061943 5143.801645  -0.569873  -0.048133  -0.218195
 61:  -6.173297 -133.060572 5142.682031   3.646028  -0.070877  -0.321473
 62:  -6.174590 -133.059075 5141.385536  -0.394325  -0.091021  -0.412440
 63:  -6.176770 -133.055527 5136.703166  -0.211231   0.037158   0.168226
 64:  -6.177568 -133.053733 5136.388922   2.074934  -0.114780  -0.519835
 65:  -6.178220 -133.051838 5137.119141  -2.581828  -0.386324  -1.748376
 66:  -6.178353 -133.050018 5123.591587  -0.750269  -0.664924  -3.002321
 67:  -6.176852 -133.049218 5049.460524   0.462973  -0.875158  -3.895424
 68:  -6.174858 -133.048815 4963.792567   4.885852  -0.967425  -4.236162
 69:  -6.173308 -133.048492 4903.226150   1.405783  -0.918421  -3.970404
