Bootstrap inversion results (2sigma uncertainty)
Station: EE03
Lat:   -7.06435 deg (0.000015) 
Lon:   -131.17881 deg (0.000015) 
X:     -133.442303 m (1.690852) 
Y:    -160.223110 m (1.670852) 
Depth: -4628.832181 m (7.216704) 
TAT:   9.286704 ms (1.757476) 
Water Vel.: 1500.478852 m/s (1.947280)
Drift Lon: -133.442303 m (1.690852) 
Drift Lat: -160.223110 m (1.670852) 
Drift:    208.515629 m (1.936111) 
Drift Azi: 219.789259 deg (0.379226)
dz: 38.167819 m (7.216704)

RMS:  2.222254 ms (0.454801)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -7.062997 -131.177908 4632.312949   2.011159   0.000000   0.000000
  2:  -7.062997 -131.177908 4632.312949   2.018749   0.000782   0.003224
  3:  -7.062972 -131.177923 4632.367766   1.970953   0.011168   0.046035
  4:  -7.062947 -131.177902 4632.510601   1.797046   0.028263   0.116502
  5:  -7.062993 -131.177240 4634.496873   2.935800   0.075246   0.310333
  6:  -7.062772 -131.176072 4641.970404   1.204373   0.178006   0.735183
  7:  -7.061970 -131.174598 4659.568919  -0.061356   0.351912   1.458756
  8:  -7.061038 -131.172820 4690.176486   0.089832   0.574718   2.398025
  9:  -7.060113 -131.170833 4735.155647  -2.647962   0.815031   3.432319
 10:  -7.059187 -131.168842 4792.113294  -1.641406   1.039594   4.430907
 11:  -7.058272 -131.166827 4861.062129   0.342593   1.240533   5.364613
 12:  -7.057327 -131.164767 4943.242062  -3.966486   1.419656   6.239432
 13:  -7.056445 -131.162755 5033.441919  -3.193677   1.442824   6.456992
 14:  -7.055480 -131.160723 5136.152229  -5.889314   1.206665   5.507478
 15:  -7.054692 -131.158212 5267.308976  -2.916330   0.797273   3.733685
 16:  -7.056315 -131.157110 5287.912459   2.241678   0.300387   1.413505
 17:  -7.063770 -131.155853 5278.405206   2.817518   0.193073   0.907009
 18:  -7.067537 -131.156218 5270.559881   4.177621   0.044299   0.207844
 19:  -7.070682 -131.157018 5264.183776   0.081197  -0.021700  -0.101612
 20:  -7.073147 -131.158060 5256.132972   4.437840  -0.072633  -0.339870
 21:  -7.075055 -131.159138 5248.825777   0.429880  -0.116702  -0.544931
 22:  -7.076933 -131.160413 5243.362757  -0.203796  -0.126019  -0.587713
 23:  -7.078697 -131.162017 5233.078046   0.415686  -0.114351  -0.532364
 24:  -7.080295 -131.163675 5227.918108  -0.573594  -0.097384  -0.452812
 25:  -7.081607 -131.165447 5219.926810   1.018126  -0.106621  -0.495112
 26:  -7.082702 -131.167292 5211.941129   1.586673  -0.134168  -0.622221
 27:  -7.083617 -131.169045 5208.643104  -0.897794  -0.180339  -0.835440
 28:  -7.084120 -131.171108 5189.462375   0.582999  -0.207987  -0.960184
 29:  -7.084763 -131.173358 5185.133756   0.374519  -0.186156  -0.858659
 30:  -7.084935 -131.175908 5168.350278  -0.216283  -0.117604  -0.540643
 31:  -7.085047 -131.178335 5164.140258   0.383692  -0.078894  -0.362442
 32:  -7.084943 -131.180532 5162.334646  -1.120206  -0.089699  -0.411838
 33:  -7.084573 -131.182647 5158.350316  -1.763561  -0.110220  -0.505575
 34:  -7.083857 -131.184732 5148.665815  -1.908340  -0.124391  -0.569494
 35:  -7.082880 -131.186698 5136.728487  -1.974727  -0.112464  -0.513708
 36:  -7.081747 -131.188528 5126.531005  -1.402112  -0.093098  -0.424421
 37:  -7.080552 -131.190397 5126.028670  -0.775586  -0.058435  -0.266419
 38:  -7.079202 -131.192148 5128.001318  -1.357836  -0.032957  -0.150301
 39:  -7.077577 -131.193703 5125.838747  -0.514012  -0.031268  -0.142565
 40:  -7.075733 -131.195263 5129.941196  -0.015592  -0.020293  -0.092601
 41:  -7.073590 -131.196422 5124.188632   0.585808  -0.003522  -0.016053
 42:  -7.071348 -131.197423 5123.963572  -0.060710  -0.007391  -0.033685
 43:  -7.069023 -131.198242 5128.656054   0.675576   0.003150   0.014373
 44:  -7.066652 -131.198648 5127.932489   1.552145   0.050146   0.228791
 45:  -7.064232 -131.198673 5122.805839   0.445653   0.082954   0.378020
 46:  -7.061848 -131.198660 5129.619904   0.386166   0.096394   0.439861
 47:  -7.059430 -131.198577 5147.053939  -1.781739   0.137355   0.628694
 48:  -7.057123 -131.197998 5153.617600  -0.550359   0.170835   0.783077
 49:  -7.054953 -131.197147 5158.563407   0.803098   0.161737   0.742236
 50:  -7.052832 -131.196185 5170.513356  -1.960009   0.146136   0.671853
 51:  -7.050808 -131.194947 5181.476339   0.290154   0.153675   0.708284
 52:  -7.048998 -131.193508 5190.937490   1.558496   0.156825   0.724325
 53:  -7.047482 -131.191878 5195.278560   0.842475   0.147103   0.679904
 54:  -7.046033 -131.190103 5204.442263  -0.310981   0.148282   0.686392
 55:  -7.044813 -131.188247 5213.549120  -0.475829   0.151857   0.704202
 56:  -7.043772 -131.186293 5223.849279   2.633701   0.132961   0.618156
 57:  -7.042900 -131.184198 5235.204172   2.537695   0.079138   0.368700
 58:  -7.042183 -131.181457 5246.008305   3.947781  -0.044670  -0.208599
 59:  -7.041993 -131.178595 5247.758460   3.667814  -0.286501  -1.338234
 60:  -7.042245 -131.176418 5241.303938   0.509481  -0.551444  -2.571184
 61:  -7.044123 -131.175798 5151.670494  -4.705793  -0.782398  -3.582528
 62:  -7.045698 -131.175948 5077.411011  -4.761498  -1.079191  -4.871019
 63:  -7.047238 -131.175955 5010.597660  -3.769039  -0.858139  -3.822913
