Bootstrap inversion results (2sigma uncertainty)
Station: CC08
Lat:   -6.48164 deg (0.000014) 
Lon:   -133.12326 deg (0.000019) 
X:     -12.252712 m (2.101511) 
Y:    -73.329830 m (1.594649) 
Depth: -4745.712289 m (3.590173) 
TAT:   12.503304 ms (1.340499) 
Water Vel.: 1502.180584 m/s (1.130817)
Drift Lon: -12.252712 m (2.101511) 
Drift Lat: -73.329830 m (1.594649) 
Drift:    74.353667 m (1.628189) 
Drift Azi: 189.484775 deg (1.597734)
dz: 28.287711 m (3.590173)

RMS:  2.067169 ms (0.460759)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.481917 -133.122122 4747.481050   0.642842  -0.025598  -0.107931
  2:  -6.480997 -133.122380 4747.250469   0.006417   0.019635   0.082780
  3:  -6.479945 -133.122583 4750.017346   0.305227   0.067445   0.284514
  4:  -6.478953 -133.122678 4755.461663  -0.821026   0.109897   0.464077
  5:  -6.478018 -133.122650 4763.090888  -0.057900   0.157323   0.665455
  6:  -6.477167 -133.122587 4772.044632   0.007959   0.217010   0.919659
  7:  -6.476112 -133.122517 4785.681787   0.786008   0.304057   1.292326
  8:  -6.474665 -133.122282 4809.264875  -0.501397   0.436942   1.866035
  9:  -6.472993 -133.122018 4843.106877  -0.558345   0.610233   2.624329
 10:  -6.471207 -133.121825 4886.620849   0.456473   0.791906   3.436514
 11:  -6.469365 -133.121598 4939.560639  -0.004216   0.962807   4.223156
 12:  -6.467377 -133.121400 5005.326102  -1.518472   1.139846   5.065237
 13:  -6.465418 -133.121205 5078.670877  -1.200399   1.309503   5.904352
 14:  -6.463393 -133.121017 5163.000948  -3.360547   1.424771   6.528361
 15:  -6.461352 -133.120840 5256.329801  -3.603990   1.339473   6.247986
 16:  -6.459257 -133.120640 5360.485664  -5.090247   1.051168   4.998376
 17:  -6.457903 -133.119678 5437.943645  -1.434476   0.688307   3.322190
 18:  -6.458320 -133.118277 5429.395039   0.749609   0.314786   1.517590
 19:  -6.458933 -133.116643 5418.938784  -0.239712   0.018665   0.089794
 20:  -6.459582 -133.114860 5416.420346   1.024091  -0.100636  -0.484045
 21:  -6.460287 -133.113142 5417.807622  -0.729389  -0.103280  -0.496724
 22:  -6.461215 -133.111550 5413.259921  -1.604286  -0.093852  -0.450936
 23:  -6.462468 -133.110033 5399.919807   0.037987  -0.063395  -0.303937
 24:  -6.463875 -133.108455 5391.193233   0.656309  -0.010879  -0.052076
 25:  -6.465170 -133.106838 5398.183027  -0.631323   0.044620   0.213836
 26:  -6.466548 -133.105272 5409.979211  -0.330137   0.088857   0.426777
 27:  -6.468092 -133.103862 5419.612487  -0.127579   0.079375   0.381924
 28:  -6.469865 -133.102692 5421.716845   4.784068   0.013372   0.064419
 29:  -6.471705 -133.101712 5423.222857   0.017568  -0.082606  -0.397743
 30:  -6.473700 -133.101060 5415.153287   0.723484  -0.169965  -0.817229
 31:  -6.475790 -133.100702 5400.691419   0.004402  -0.226409  -1.085650
 32:  -6.478008 -133.100628 5380.574865  -0.169233  -0.237883  -1.136332
 33:  -6.480217 -133.100722 5363.048142   2.027481  -0.215448  -1.026219
 34:  -6.482420 -133.100882 5353.206854   1.204907  -0.161308  -0.766812
 35:  -6.484620 -133.101200 5346.467036   0.202410  -0.100251  -0.475913
 36:  -6.486742 -133.101703 5340.937191   2.477232  -0.076288  -0.361895
 37:  -6.488675 -133.102277 5339.849049   0.989241  -0.100823  -0.478080
 38:  -6.490530 -133.103095 5335.082359   3.204715  -0.140138  -0.664127
 39:  -6.492432 -133.104245 5326.292211   1.029560  -0.178391  -0.843740
 40:  -6.494313 -133.105705 5315.631974   0.211607  -0.207399  -0.978902
 41:  -6.495967 -133.107360 5303.234486   1.714862  -0.208738  -0.983112
 42:  -6.497357 -133.109228 5286.839276  -0.356939  -0.166393  -0.781014
 43:  -6.498535 -133.111273 5269.678912  -0.504592  -0.096299  -0.450539
 44:  -6.499703 -133.113258 5266.391651  -0.176582  -0.014156  -0.066190
 45:  -6.500752 -133.115135 5272.113914  -1.700674   0.036425   0.170464
 46:  -6.501642 -133.117082 5280.165712  -2.400128   0.024183   0.113333
 47:  -6.502348 -133.119135 5288.955539  -3.925558  -0.039370  -0.184762
 48:  -6.502582 -133.121453 5284.278265  -2.759961  -0.101813  -0.477465
 49:  -6.502348 -133.123705 5269.459821  -1.165640  -0.157991  -0.739058
 50:  -6.501865 -133.125965 5254.744449  -2.463787  -0.185696  -0.866034
 51:  -6.501162 -133.128147 5241.478973  -1.893601  -0.221087  -1.028605
 52:  -6.500368 -133.130362 5237.068751  -1.981710  -0.298183  -1.386076
 53:  -6.496112 -133.137607 5253.565645   4.492073   0.067809   0.316563
 54:  -6.491193 -133.141948 5282.989157  -0.238144   0.210850   0.988973
 55:  -6.489157 -133.142695 5275.720328   2.182984  -0.055850  -0.261726
 56:  -6.485397 -133.143535 5265.287417   4.736010  -0.181750  -0.850483
 57:  -6.474247 -133.143377 5304.890361  -0.433293   0.311101   1.465240
 58:  -6.472457 -133.142565 5302.208632  -1.710792   0.085960   0.404561
 59:  -6.470787 -133.141600 5298.897834  -0.472105  -0.240638  -1.132094
 60:  -6.469055 -133.140603 5304.687574   1.646995  -0.538867  -2.538846
 61:  -6.469657 -133.137998 5190.026928   2.357338  -0.914826  -4.217357
 62:  -6.472190 -133.134373 5012.542925   5.479559  -0.992261  -4.419859
