Bootstrap inversion results (2sigma uncertainty)
Station: EC03
Lat:   -6.29162 deg (0.000024) 
Lon:   -131.91041 deg (0.000014) 
X:     -291.244516 m (1.540137) 
Y:    -170.477460 m (2.615598) 
Depth: -4742.266324 m (6.104829) 
TAT:   13.475978 ms (0.473735) 
Water Vel.: 1506.374532 m/s (1.831074)
Drift Lon: -291.244516 m (1.540137) 
Drift Lat: -170.477460 m (2.615598) 
Drift:    337.471857 m (1.979372) 
Drift Azi: 239.658069 deg (0.390686)
dz: 88.733676 m (6.104829)

RMS:  1.616310 ms (0.415241)

Bad pings Removed: 2
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -6.291803 -131.904297 4790.344422  -1.418038  -0.282282  -1.194300
  2:  -6.291727 -131.904583 4785.938469   0.274978  -0.280209  -1.184559
  3:  -6.291528 -131.905462 4773.809265  -0.549970  -0.238514  -1.005712
  4:  -6.291453 -131.905705 4770.819766  -0.580197  -0.229083  -0.965302
  5:  -6.291395 -131.905908 4768.445378   0.455277  -0.220699  -0.929565
  6:  -6.291107 -131.907010 4757.525098   0.003679  -0.136501  -0.573598
  7:  -6.291060 -131.907202 4755.958511   0.089154  -0.073055  -0.306896
  8:  -6.290200 -131.908420 4749.988586  -0.880977   0.042247   0.177239
  9:  -6.288767 -131.908090 4759.704344  -0.809487   0.185219   0.778664
 10:  -6.287128 -131.907217 4781.319209  -0.545829   0.397644   1.679207
 11:  -6.285167 -131.906347 4816.742606  -0.557165   0.647497   2.754647
 12:  -6.283137 -131.905523 4864.378143  -0.791584   0.827534   3.555244
 13:  -6.281080 -131.904713 4923.996277   2.766166   0.816550   3.552131
 14:  -6.278448 -131.903692 5016.407475   3.977709   0.627542   2.782156
 15:  -6.273580 -131.905212 5176.962592  -3.349987   0.441983   2.018893
 16:  -6.273465 -131.907800 5157.930878   2.045422   0.062453   0.284630
 17:  -6.273525 -131.910430 5147.243062  -0.328290  -0.300586  -1.366119
 18:  -6.273922 -131.912477 5135.430913  -0.568161  -0.586073  -2.657448
 19:  -6.283453 -131.922892 5021.155248  -0.016657   0.082164   0.364354
 20:  -6.286257 -131.923725 5001.120082   0.536301  -0.036112  -0.159523
 21:  -6.288412 -131.924007 4987.785618  -1.514171  -0.137135  -0.603871
 22:  -6.290513 -131.923982 4975.810956  -0.749151  -0.152861  -0.671634
 23:  -6.293153 -131.923657 4966.452974  -1.258000  -0.083841  -0.367655
 24:  -6.295177 -131.923190 4964.154421  -0.318719  -0.063202  -0.277089
 25:  -6.297157 -131.922403 4962.293924   0.114184  -0.038182  -0.167347
 26:  -6.298990 -131.921278 4959.719049   0.517305  -0.017771  -0.077854
 27:  -6.301560 -131.919178 4963.664470  -0.579936   0.086574   0.379470
 28:  -6.303075 -131.917572 4972.023307  -0.722704   0.072291   0.317397
 29:  -6.305237 -131.914290 4994.020600   3.683177   0.207019   0.913705
 30:  -6.305837 -131.912313 5000.458382  -0.484979   0.194990   0.861028
 31:  -6.306145 -131.909607 5007.657411   2.663582   0.229030   1.013401
 32:  -6.306398 -131.907475 5026.438719   0.864075   0.233866   1.038319
 33:  -6.306340 -131.905357 5044.932121   3.161280   0.267867   1.194160
 34:  -6.305842 -131.903327 5057.344656  -0.098025   0.285874   1.276859
 35:  -6.305165 -131.901338 5073.497108  -0.459969   0.283154   1.268556
 36:  -6.304345 -131.899448 5093.196169  -0.631639   0.279199   1.255697
 37:  -6.303232 -131.897627 5112.635382  -2.255979   0.284612   1.284452
 38:  -6.301868 -131.896037 5128.682742  -2.563869   0.277529   1.256364
 39:  -6.300270 -131.894625 5143.480254  -1.334579   0.273472   1.241844
 40:  -6.298510 -131.893337 5161.333708  -0.147979   0.269337   1.227648
 41:  -6.296587 -131.892307 5177.281322  -1.173914   0.251719   1.150583
 42:  -6.294602 -131.891417 5197.660734  -0.343693   0.205244   0.942018
 43:  -6.292435 -131.890960 5208.661479  -0.870292   0.038824   0.178540
 44:  -6.290087 -131.890790 5218.450711   0.024086  -0.242765  -1.118805
 45:  -6.287958 -131.891167 5214.239166  -0.362723  -0.549629  -2.530616
 46:  -6.287698 -131.893177 5129.774569   3.482925  -1.070234  -4.851538
 47:  -6.288135 -131.894955 5056.002019   1.615976  -1.170921  -5.229630
