Bootstrap inversion results (2sigma uncertainty)
Station: CC01
Lat:   -4.04578 deg (0.000018) 
Lon:   -132.47451 deg (0.000048) 
X:     147.086232 m (5.357045) 
Y:    34.447197 m (1.972698) 
Depth: -4768.855927 m (32.535035) 
TAT:   12.773664 ms (1.227232) 
Water Vel.: 1506.936133 m/s (8.346604)
Drift Lon: 147.086232 m (5.357045) 
Drift Lat: 34.447197 m (1.972698) 
Drift:    151.072520 m (4.982379) 
Drift Azi: 76.812302 deg (1.053463)
dz: 6.144073 m (32.535035)

RMS:  6.061886 ms (4.519607)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -4.040168 -132.475042 4809.477845  37.080807   0.000000   0.000000
  2:  -4.040180 -132.475045 4809.316055  22.916153  -0.082539  -0.351285
  3:  -4.040337 -132.475105 4807.202370  -5.720797  -0.162288  -0.687914
  4:  -4.041075 -132.475332 4798.072016  -6.410072  -0.155779  -0.659091
  5:  -4.041978 -132.475502 4788.661085  -5.965730  -0.184856  -0.780619
  6:  -4.043328 -132.475168 4777.144807  -4.457677  -0.167800  -0.707108
  7:  -4.044857 -132.474307 4770.008136  -4.896307  -0.057815  -0.243256
  8:  -4.046653 -132.473315 4771.657249  -3.478720   0.120196   0.505952
  9:  -4.048600 -132.472293 4785.324040  -4.212409   0.332047   1.401842
 10:  -4.050550 -132.471195 4811.957117  -4.854787   0.549226   2.331060
 11:  -4.052468 -132.470050 4851.101992  -3.849217   0.747685   3.199449
 12:  -4.054397 -132.468932 4902.265713  -2.856823   0.956557   4.137061
 13:  -4.056377 -132.467787 4966.967910  -2.774329   1.158087   5.074221
 14:  -4.058840 -132.466388 5063.490228   2.879785   1.386256   6.197714
 15:  -4.060792 -132.465240 5153.136703  -2.813196   1.550031   7.043898
 16:  -4.062637 -132.464095 5248.944164  -0.180286   1.289529   5.972380
 17:  -4.064557 -132.464920 5308.900222   4.739164   0.495566   2.324118
 18:  -4.065617 -132.467163 5311.928282   0.232498   0.114795   0.538002
 19:  -4.066602 -132.469590 5323.479904  -0.101723   0.228529   1.073459
 20:  -4.067283 -132.471743 5337.445467   1.303948   0.187609   0.883610
 21:  -4.067612 -132.473807 5345.486750   0.665348   0.110537   0.521397
 22:  -4.067682 -132.475852 5350.512421  -0.013815   0.097589   0.460761
 23:  -4.067592 -132.477908 5357.267992   1.023335   0.085658   0.404946
 24:  -4.067245 -132.479937 5360.768977   1.375696   0.074994   0.354732
 25:  -4.066742 -132.481970 5366.571146   0.742854   0.125463   0.593972
 26:  -4.066132 -132.483913 5375.526275   1.795459   0.212748   1.009245
 27:  -4.065488 -132.485850 5392.288085   1.501194   0.286990   1.365526
 28:  -4.064627 -132.487847 5410.949716   0.747926   0.230038   1.098378
 29:  -4.063383 -132.489707 5420.234071  -0.451407   0.150084   0.717763
 30:  -4.061957 -132.491433 5428.979530  -0.117032   0.176074   0.843375
 31:  -4.060450 -132.493038 5441.272065   0.559117   0.089269   0.428538
 32:  -4.058695 -132.494255 5439.664337  -0.268621  -0.043198  -0.207343
 33:  -4.056860 -132.495250 5435.856048   0.745363  -0.039314  -0.188615
 34:  -4.054958 -132.496133 5434.993432  -0.062299  -0.012747  -0.061140
 35:  -4.053022 -132.496832 5434.056430   1.091590  -0.074357  -0.356602
 36:  -4.051003 -132.497230 5426.121790  -1.231809  -0.114691  -0.548951
 37:  -4.049005 -132.497480 5420.094170   2.616394  -0.091151  -0.436177
 38:  -4.047018 -132.497575 5415.082306   1.231250  -0.072075  -0.344333
 39:  -4.045033 -132.497523 5411.285036  -0.568753  -0.057006  -0.272153
 40:  -4.042078 -132.497207 5409.666584  -3.294543   0.108633   0.518195
 41:  -4.039878 -132.496998 5422.816559  -2.785286   0.155082   0.741505
 42:  -4.037748 -132.496443 5428.256455  -2.055702   0.017318   0.082922
 43:  -4.035712 -132.495527 5425.065877  -1.750895  -0.104245  -0.498927
 44:  -4.033912 -132.494353 5415.074194  -1.524593  -0.184940  -0.883401
 45:  -4.032260 -132.492987 5402.776793  -1.267269  -0.162037  -0.772275
 46:  -4.030707 -132.491567 5395.450859  -1.450127  -0.092034  -0.438012
 47:  -4.029243 -132.490060 5391.722710  -3.447533  -0.090303  -0.429267
 48:  -4.028012 -132.488415 5384.215190   3.109997  -0.075524  -0.358943
 49:  -4.026825 -132.486710 5382.723644  -2.558344  -0.169460  -0.804367
 50:  -4.025442 -132.482808 5352.741452   0.122731  -0.228144  -1.077589
 51:  -4.024448 -132.476645 5325.826800   2.563703  -0.044522  -0.209265
 52:  -4.024473 -132.474670 5319.330736  -0.551265  -0.041028  -0.192524
 53:  -4.024518 -132.472725 5320.771239   0.494393  -0.096531  -0.453111
 54:  -4.025175 -132.470360 5305.392678  -0.132197  -0.191672  -0.897218
 55:  -4.025900 -132.468493 5293.583528  -0.313718  -0.375327  -1.752764
 56:  -4.035385 -132.457582 5253.180919   2.819958  -0.186404  -0.864459
 57:  -4.044685 -132.459313 5059.908967  -1.176078  -0.662430  -2.957325
 58:  -4.044863 -132.461507 4983.557075   2.007829  -0.860891  -3.787542
 59:  -4.044953 -132.462970 4938.746743  -5.077416  -0.678947  -2.957319
 60:  -4.045038 -132.464345 4901.197109  -5.280085  -0.570812  -2.467243
 61:  -4.045138 -132.465658 4869.519233  -6.415095  -0.492951  -2.116204
