Bootstrap inversion results (2sigma uncertainty)
Station: CC04
Lat:   -5.19374 deg (0.000012) 
Lon:   -132.78996 deg (0.000019) 
X:     -17.775395 m (2.133691) 
Y:    120.609457 m (1.359970) 
Depth: -4615.718256 m (5.737157) 
TAT:   13.150815 ms (1.143565) 
Water Vel.: 1508.566078 m/s (1.763397)
Drift Lon: -17.775395 m (2.133691) 
Drift Lat: 120.609457 m (1.359970) 
Drift:    121.916809 m (1.408347) 
Drift Azi: 351.616749 deg (0.988462)
dz: 12.281744 m (5.737157)

RMS:  1.896685 ms (0.345286)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -5.196298 -132.788413 4627.564091  -2.865666   0.003389   0.013809
  2:  -5.196303 -132.788412 4627.604787   0.739392   0.001747   0.007120
  3:  -5.196300 -132.788412 4627.582217   0.689887  -0.000559  -0.002278
  4:  -5.196313 -132.788418 4627.645311  -1.204354   0.004776   0.019465
  5:  -5.196283 -132.788520 4627.039748  -0.462300   0.027310   0.111283
  6:  -5.196370 -132.788615 4627.280879   0.145088   0.066996   0.273032
  7:  -5.196728 -132.788380 4630.853474  -0.531172   0.130571   0.532488
  8:  -5.197662 -132.787305 4645.390337  -0.741935   0.266832   1.091582
  9:  -5.200135 -132.784550 4707.955305   1.135601   0.601823   2.495651
 10:  -5.201518 -132.783287 4753.131799   3.102230   0.832510   3.485972
 11:  -5.202998 -132.781997 4809.646792   2.222536   1.035128   4.385557
 12:  -5.204997 -132.780288 4899.423813   0.340447   1.264566   5.456226
 13:  -5.206635 -132.778927 4983.450660   0.922619   1.384959   6.078565
 14:  -5.208292 -132.777497 5079.747013  -1.612022   1.241619   5.552173
 15:  -5.209717 -132.775250 5204.440336   0.933449   0.774117   3.548103
 16:  -5.209752 -132.772745 5299.324130   2.670453   0.150590   0.703129
 17:  -5.193912 -132.767295 5255.415869   4.590882   0.086550   0.400935
 18:  -5.179162 -132.774040 5197.970999  -2.138716   0.374315   1.712377
 19:  -5.178032 -132.775440 5187.829860   0.109805   0.100316   0.458207
 20:  -5.176645 -132.777668 5170.631854   0.765630  -0.054416  -0.247778
 21:  -5.175937 -132.779175 5158.521034  -1.002783  -0.154593  -0.702051
 22:  -5.175093 -132.781070 5150.527812  -0.466781  -0.208506  -0.945488
 23:  -5.173968 -132.783855 5152.001584   0.446792  -0.237711  -1.078471
 24:  -5.174103 -132.793865 5119.306422  -1.061371   0.127627   0.575193
 25:  -5.174788 -132.796732 5124.475089  -1.855227   0.048660   0.219497
 26:  -5.175548 -132.798238 5117.983586  -0.367500  -0.052117  -0.234849
 27:  -5.176525 -132.799535 5104.452177  -2.312579  -0.077818  -0.349635
 28:  -5.177505 -132.800795 5096.141935   1.515633  -0.054200  -0.243278
 29:  -5.178485 -132.802083 5094.785850  -1.500193  -0.001907  -0.008554
 30:  -5.179482 -132.803450 5101.705534  -0.754735   0.043540   0.195580
 31:  -5.180520 -132.804678 5109.245157  -1.714195   0.057044   0.256562
 32:  -5.181715 -132.805778 5113.545876  -0.464539   0.056125   0.252694
 33:  -5.183035 -132.806628 5110.857547   0.037817   0.041213   0.185468
 34:  -5.184403 -132.807443 5111.519346   0.165851   0.036632   0.164881
 35:  -5.185762 -132.808197 5115.737750  -2.320017   0.053934   0.242864
 36:  -5.187162 -132.808805 5118.479867  -0.983717   0.074772   0.336954
 37:  -5.188570 -132.809347 5123.578036  -0.748668   0.074897   0.337850
 38:  -5.190007 -132.809818 5130.512636   2.873301   0.064898   0.293309
 39:  -5.191483 -132.810127 5134.753238   3.254544   0.062017   0.280544
 40:  -5.193070 -132.810298 5137.546300   1.592260   0.068771   0.311177
 41:  -5.194662 -132.810297 5137.943202   1.101007   0.077735   0.351731
 42:  -5.196295 -132.810327 5146.156189   2.153796   0.095946   0.434891
 43:  -5.197880 -132.810202 5152.699602   3.448223   0.106793   0.484773
 44:  -5.199482 -132.809992 5161.387705   2.926698   0.104141   0.473502
 45:  -5.201087 -132.809623 5168.860430   1.103527   0.104034   0.473565
 46:  -5.202562 -132.809063 5171.260957   2.859418   0.107568   0.490017
 47:  -5.204055 -132.808412 5175.965859   0.721997   0.113514   0.517419
 48:  -5.205607 -132.807705 5186.246024   0.084750   0.131597   0.600951
 49:  -5.207132 -132.806853 5196.693313   1.192347   0.141928   0.649555
 50:  -5.208570 -132.805903 5207.554323   0.817883   0.125881   0.577274
 51:  -5.209892 -132.804812 5215.955090  -1.156155   0.107294   0.492644
 52:  -5.211068 -132.803497 5218.154354  -2.033187   0.105851   0.486151
 53:  -5.212112 -132.802132 5220.472606  -2.101659   0.104510   0.480201
 54:  -5.213150 -132.800727 5228.477713  -0.832761   0.084118   0.387192
 55:  -5.214150 -132.799267 5240.586383  -0.828434   0.026544   0.122458
 56:  -5.214892 -132.797763 5246.386768  -2.481026  -0.104899  -0.484355
 57:  -5.215108 -132.796318 5233.138179  -0.944802  -0.317426  -1.462307
 58:  -5.214820 -132.795308 5204.877157  -4.324948  -0.554492  -2.539208
 59:  -5.213960 -132.794630 5154.888390  -3.114881  -0.819846  -3.719180
 60:  -5.212843 -132.794277 5098.711394  -1.734721  -0.913959  -4.102150
