Bootstrap inversion results (2sigma uncertainty)
Station: EC02
Lat:   -5.46195 deg (0.000027) 
Lon:   -131.87689 deg (0.000025) 
X:     -264.511769 m (2.736759) 
Y:    -91.696670 m (2.970989) 
Depth: -4773.609503 m (6.527511) 
TAT:   14.202255 ms (1.137136) 
Water Vel.: 1507.773273 m/s (2.021052)
Drift Lon: -264.511769 m (2.736759) 
Drift Lat: -91.696670 m (2.970989) 
Drift:    279.957524 m (3.235008) 
Drift Azi: 250.881152 deg (0.495451)
dz: 5.390497 m (6.527511)

RMS:  1.729816 ms (0.509440)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -5.462470 -131.874458 4781.536892   0.283618   0.000879   0.003705
  2:  -5.462493 -131.874455 4781.589472   0.211334   0.008178   0.034479
  3:  -5.462523 -131.874477 4781.497647   2.213104   0.026860   0.113273
  4:  -5.462728 -131.874055 4784.689919   0.099812   0.025170   0.106185
  5:  -5.463808 -131.873343 4794.144443  -0.430165   0.061997   0.262052
  6:  -5.465383 -131.874032 4799.133484   0.868267   0.167606   0.709299
  7:  -5.467192 -131.874932 4813.562964   0.758982   0.325438   1.381322
  8:  -5.469142 -131.875882 4840.700165  -1.172109   0.521296   2.224561
  9:  -5.471057 -131.876977 4878.707310   1.340395   0.731084   3.145200
 10:  -5.472907 -131.878260 4927.349936   1.768683   0.944881   4.105654
 11:  -5.475315 -131.880020 5009.243598   5.951282   1.179864   5.214989
 12:  -5.477192 -131.881338 5086.438559   3.637094   1.204374   5.403466
 13:  -5.479288 -131.882255 5178.588890   2.437400   1.074173   4.906062
 14:  -5.480942 -131.881838 5244.001241  -0.192603   0.844266   3.902587
 15:  -5.481790 -131.880165 5266.242188  -0.609711   0.569827   2.645001
 16:  -5.482565 -131.878310 5292.413405  -0.316651   0.343305   1.601547
 17:  -5.482977 -131.876410 5310.104089  -0.758963   0.260299   1.218301
 18:  -5.482922 -131.874473 5313.915664  -0.817556   0.266189   1.246727
 19:  -5.482768 -131.872455 5322.499778  -0.288796   0.295714   1.387396
 20:  -5.482713 -131.870442 5345.087575  -2.019946   0.347244   1.635366
 21:  -5.482638 -131.868427 5375.943505  -0.191112   0.296692   1.406056
 22:  -5.482345 -131.866507 5403.481105  -2.351729   0.072444   0.344860
 23:  -5.481705 -131.864518 5425.755192  -0.220369  -0.233434  -1.116408
 24:  -5.445888 -131.868665 5174.165464   1.170586   0.271002   1.236568
 25:  -5.445372 -131.870347 5164.623362   4.085628   0.000119   0.000541
 26:  -5.445012 -131.872088 5155.419831  -0.570153  -0.268954  -1.222171
 27:  -5.445542 -131.878428 5109.660401  -1.698022  -0.209424  -0.942963
 28:  -5.450240 -131.885735 5042.364036  -0.690935   0.032213   0.143183
 29:  -5.451462 -131.886653 5030.283569   3.966000  -0.107354  -0.476492
 30:  -5.452843 -131.887500 5018.425465   0.970897  -0.158874  -0.703084
 31:  -5.454332 -131.888102 5004.147952  -0.943015  -0.130053  -0.573647
 32:  -5.455745 -131.888670 4996.310485  -1.501661  -0.093233  -0.410562
 33:  -5.457270 -131.889332 4995.699779  -0.699348  -0.096481  -0.424887
 34:  -5.458833 -131.889995 5001.614022   0.326631  -0.165850  -0.731347
 35:  -5.460093 -131.889918 4991.484899  -1.144181  -0.299774  -1.319003
 36:  -5.460648 -131.888883 4957.356385  -0.896511  -0.448927  -1.961812
 37:  -5.460897 -131.887527 4918.445194  -1.227449  -0.536191  -2.324581
 38:  -5.461072 -131.886192 4884.669109  -3.312235  -0.531831  -2.289350
 39:  -5.461092 -131.884840 4855.213920  -0.426116  -0.469283  -2.008758
 40:  -5.461082 -131.883447 4829.594821  -0.439665  -0.390127  -1.661086
 41:  -5.461065 -131.882027 4808.463716  -0.424016  -0.307974  -1.305585
 42:  -5.461070 -131.880635 4792.631731  -0.414481  -0.224448  -0.948452
 43:  -5.461070 -131.879258 4781.826166  -1.063457  -0.141386  -0.596037
 44:  -5.461107 -131.877887 4775.803897  -0.113460  -0.059656  -0.251215
 45:  -5.461133 -131.876560 4774.599470   0.441515   0.017828   0.075055
 46:  -5.461175 -131.875215 4777.970822  -0.933258   0.095188   0.400971
 47:  -5.461207 -131.873918 4785.635994  -1.109558   0.170567   0.719613
 48:  -5.461265 -131.872587 4797.933439  -1.407798   0.250136   1.057951
 49:  -5.461352 -131.871217 4815.241789   0.541344   0.333177   1.414616
 50:  -5.461438 -131.869815 4837.841657  -1.346724   0.416489   1.776277
 51:  -5.461505 -131.868403 4865.552701  -2.002470   0.495582   2.125373
 52:  -5.461567 -131.866995 4898.038859   0.716067   0.568823   2.456700
 53:  -5.461630 -131.865522 4937.089514  -0.038314   0.630287   2.743461
