Bootstrap inversion results (2sigma uncertainty)
Station: CC03
Lat:   -4.88160 deg (0.000014) 
Lon:   -132.68895 deg (0.000010) 
X:     13.356425 m (1.145406) 
Y:    89.268186 m (1.518524) 
Depth: -4739.256478 m (3.454568) 
TAT:   12.752406 ms (1.055718) 
Water Vel.: 1506.825061 m/s (1.048586)
Drift Lon: 13.356425 m (1.145406) 
Drift Lat: 89.268186 m (1.518524) 
Drift:    90.263529 m (1.552798) 
Drift Azi: 8.509065 deg (0.697619)
dz: 10.743522 m (3.454568)

RMS:  1.542380 ms (0.326474)

Bad pings Removed: 3
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
 74:  -4.878850 -132.709193 5253.101386   0.771709   0.036164   0.167670
 75:  -4.880935 -132.709563 5262.493238   1.267741   0.051820   0.240707
 76:  -4.882917 -132.709623 5266.873423  -0.416764   0.004059   0.018863
 77:  -4.886802 -132.709365 5283.819078   0.967559   0.009481   0.044214
 78:  -4.892188 -132.707333 5290.430425   0.258446   0.022697   0.105967
 79:  -4.894583 -132.705997 5300.583135   3.458278  -0.205640  -0.962551
 80:  -4.901633 -132.695930 5288.323289   1.923349  -0.008207  -0.038316
 81:  -4.901068 -132.694542 5242.017073  -4.139155  -0.341443  -1.578297
 82:  -4.900315 -132.693787 5199.055164  -2.256045  -0.642418  -2.946213
 83:  -4.899413 -132.693470 5156.648068  -2.949306  -0.779256  -3.544323
 84:  -4.897885 -132.693323 5092.917123   1.368222  -0.795366  -3.575683
 85:  -4.896627 -132.693178 5043.881087  -1.414625  -0.788788  -3.510452
