Bootstrap inversion results (2sigma uncertainty)
Station: CC12
Lat:   -7.95449 deg (0.000015) 
Lon:   -133.53221 deg (0.000022) 
X:     -299.042682 m (2.395704) 
Y:    -87.107072 m (1.679832) 
Depth: -4595.674766 m (3.944030) 
TAT:   13.284108 ms (1.108180) 
Water Vel.: 1508.236995 m/s (1.368244)
Drift Lon: -299.042682 m (2.395704) 
Drift Lat: -87.107072 m (1.679832) 
Drift:    311.471947 m (2.476079) 
Drift Azi: 253.759905 deg (0.286924)
dz: 7.325234 m (3.944030)

RMS:  2.115015 ms (0.491853)

Bad pings Removed: 0
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
  1:  -7.953677 -133.529570 4605.772525   0.196306  -0.001665  -0.006759
  2:  -7.953678 -133.529583 4605.676188  -0.577190   0.001077   0.004370
  3:  -7.953668 -133.529585 4605.686252   0.302627   0.026298   0.106723
  4:  -7.953687 -133.529483 4606.365401   0.391243   0.047853   0.194234
  5:  -7.954187 -133.528627 4612.767302  -0.057054   0.118066   0.479858
  6:  -7.955480 -133.527485 4626.438053  -0.169123   0.272580   1.111128
  7:  -7.956947 -133.526158 4651.850789   0.111281   0.482547   1.977850
  8:  -7.958480 -133.524797 4688.674213   0.273112   0.697209   2.880355
  9:  -7.960083 -133.523398 4737.886655  -0.870256   0.898288   3.749562
 10:  -7.961692 -133.521970 4798.982849  -0.912856   1.089676   4.606808
 11:  -7.963292 -133.520577 4869.709164   1.171120   1.273089   5.462737
 12:  -7.964903 -133.519187 4950.720548   0.748529   1.423003   6.207085
 13:  -7.966555 -133.517748 5044.250938   0.709188   1.463020   6.502033
 14:  -7.968170 -133.516323 5145.763934   2.070349   1.305564   5.919959
 15:  -7.969095 -133.514687 5240.585390   0.435592   1.024094   4.727755
 16:  -7.968360 -133.512978 5288.767809  -2.323446   0.740718   3.449422
 17:  -7.966818 -133.511842 5293.788945  -1.037471   0.466637   2.175606
 18:  -7.965368 -133.510508 5319.256869  -2.701936   0.266602   1.248583
 19:  -7.963723 -133.509337 5340.851754  -3.272778   0.179296   0.842992
 20:  -7.961867 -133.508527 5348.445707  -2.416799   0.123282   0.580536
 21:  -7.959853 -133.507957 5350.162392   3.851560   0.046400   0.218817
 22:  -7.957637 -133.507597 5348.578044   3.969185   0.017412   0.082091
 23:  -7.955275 -133.507335 5352.667600   1.738638   0.017696   0.083459
 24:  -7.952885 -133.507350 5354.050386   3.751284  -0.013055  -0.061609
 25:  -7.950503 -133.507473 5362.302139   1.902528  -0.088350  -0.417460
 26:  -7.945677 -133.508750 5362.992105   2.968717   0.033397   0.157845
 27:  -7.943452 -133.509775 5360.029614   0.030264  -0.082494  -0.389490
 28:  -7.940842 -133.511542 5347.156114   1.097887  -0.114146  -0.537735
 29:  -7.939017 -133.513212 5332.603604  -2.470252  -0.171084  -0.803352
 30:  -7.937282 -133.515043 5322.098847  -2.513526  -0.208138  -0.975390
 31:  -7.935708 -133.517075 5312.187025  -0.479335  -0.242019  -1.132423
 32:  -7.934408 -133.519245 5300.548247  -1.028901  -0.262828  -1.226942
 33:  -7.933492 -133.521597 5280.354645  -1.207364  -0.277236  -1.289281
 34:  -7.932938 -133.524098 5253.616012   0.128251  -0.310426  -1.436655
 35:  -7.932375 -133.526583 5242.724059  -2.266839  -0.337710  -1.559014
 36:  -7.932200 -133.529130 5226.040374  -1.175256  -0.339510  -1.562641
 37:  -7.932482 -133.531663 5200.679486   1.269869  -0.343823  -1.575408
 38:  -7.933038 -133.534193 5176.411653  -0.414675  -0.355276  -1.619919
 39:  -7.933853 -133.536712 5155.009701  -0.996468  -0.353554  -1.605244
 40:  -7.934835 -133.539090 5139.974945  -1.051810  -0.356728  -1.614944
 41:  -7.936217 -133.541245 5118.131140  -0.125604  -0.379954  -1.713014
 42:  -7.937937 -133.543163 5092.024930  -1.408103  -0.464805  -2.084409
 43:  -7.940958 -133.545732 5057.765855   2.622582  -0.479741  -2.138489
 44:  -7.946727 -133.549043 5029.980001   0.675063  -0.271564  -1.203497
 45:  -7.958907 -133.549583 5002.723578   6.184787   0.399383   1.762397
 46:  -7.961210 -133.549020 5010.694206   2.006154   0.135993   0.600567
 47:  -7.963360 -133.548190 5018.600734   0.654408  -0.097807  -0.432476
 48:  -7.971503 -133.541052 5060.773506  -1.045050   0.473574   2.110911
 49:  -7.972728 -133.539087 5075.859444  -2.781187   0.217082   0.970105
 50:  -7.973692 -133.537035 5090.563444  -2.486277  -0.111930  -0.501713
 51:  -7.974093 -133.535037 5091.045947  -2.964363  -0.377853  -1.693600
 52:  -7.972582 -133.534198 5017.237000  -0.369756  -0.605265  -2.675101
 53:  -7.971160 -133.533840 4955.035214   0.124698  -0.761939  -3.326072
 54:  -7.969192 -133.533427 4876.750157   4.646986  -0.720817  -3.099178
 55:  -7.966905 -133.532917 4797.106846  -2.384348  -0.536209  -2.265468
 56:  -7.965910 -133.532567 4766.297708  -2.524408  -0.491386  -2.062778
